herb,symptom,label,score
U87,S65,1,0.0065
U803,S21,1,0.0035
U995,S06,1,0.0356
U995,S08,1,0.0003
U995,S112,1,0.0266
U995,S25,1,0.0128
U995,S48,1,0.1800
U995,S65,1,0.0003
U700,S65,1,0.1196
U709,S08,1,0.0035
U709,S25,1,0.0266
U709,S27,1,0.1196
U709,S71,1,0.0035
U56,S20,1,0.0356
U56,S21,1,0.0035
U56,S27,1,0.0426
U945,S06,1,0.0128
U945,S112,1,0.0065
U945,S17,1,0.0035
U945,S21,1,0.0003
U945,S25,1,0.0266
U945,S48,1,0.0266
U945,S62,1,0.1538
U945,S65,1,0.0128
U945,S71,1,0.0000
U945,S95,1,0.0003
U944,S08,1,0.0035
U944,S21,1,0.0035
U944,S25,1,0.0000
U950,S21,1,0.0035
U859,S27,1,0.1636
U861,S08,1,0.0000
U861,S21,1,0.0035
U861,S27,1,0.0065
U987,S06,1,0.0065
U987,S08,1,0.0000
U987,S112,1,0.0128
U869,S06,1,0.0128
U869,S07,1,0.1538
U869,S17,1,0.1196
U869,S21,1,0.0356
U869,S27,1,0.1538
U869,S38,1,0.0128
U869,S48,1,0.1800
U869,S88,1,0.0266
U826,S27,1,0.1800
U834,S112,1,0.0128
U834,S25,1,0.0266
U834,S27,1,0.0356
U630,S08,1,0.0003
U630,S25,1,0.0128
U898,S08,1,0.0035
U898,S21,1,0.0266
U898,S25,1,0.0266
U898,S27,1,0.1636
U903,S06,1,0.1196
U903,S08,1,0.0003
U903,S21,1,0.0035
U903,S25,1,0.0065
U903,S27,1,0.0356
U903,S38,1,0.0003
U901,S06,1,0.1196
U901,S08,1,0.0003
U901,S112,1,0.0128
U901,S48,1,0.1196
U901,S71,1,0.0266
U810,S21,1,0.0266
U810,S25,1,0.1196
U810,S27,1,0.1250
U810,S71,1,0.0356
U817,S08,1,0.0035
U817,S112,1,0.0266
U817,S21,1,0.0266
U817,S25,1,0.0065
U817,S71,1,0.0003
U90,S21,1,0.0003
U375,S06,1,0.0035
U375,S112,1,0.1196
U375,S17,1,0.0356
U375,S20,1,0.1636
U375,S25,1,0.1196
U375,S27,1,0.0356
U375,S38,1,0.0426
U375,S48,1,0.1636
U375,S71,1,0.0128
U375,S98,1,0.1196
U856,S21,1,0.0065
U852,S25,1,0.0488
U740,S08,1,0.0003
U740,S21,1,0.0266
U740,S27,1,0.0356
U325,S08,1,0.0003
U325,S112,1,0.0128
U325,S25,1,0.0128
U325,S27,1,0.1250
U979,S21,1,0.0128
U979,S27,1,0.0356
U979,S38,1,0.0065
U979,S48,1,0.0426
U363,S08,1,0.0035
U363,S112,1,0.0065
U363,S25,1,0.0266
U340,S08,1,0.0003
U340,S21,1,0.0065
U340,S71,1,0.0128
U102,S06,1,0.1196
U102,S07,1,0.0488
U102,S25,1,0.0065
U102,S27,1,0.1538
U102,S38,1,0.0035
U102,S71,1,0.0003
U102,S88,1,0.0356
U959,S08,1,0.0003
U959,S27,1,0.0356
U962,S08,1,0.0035
U962,S21,1,0.0128
U970,S08,1,0.0035
U12,S21,1,0.0003
U140,S06,1,0.0003
U140,S07,1,0.0356
U140,S20,1,0.0266
U140,S21,1,0.0065
U140,S25,1,0.1538
U140,S38,1,0.0035
U140,S65,1,0.0128
U140,S71,1,0.0128
U95,S08,1,0.0000
U95,S112,1,0.0128
U95,S17,1,0.1196
U95,S20,1,0.0356
U95,S21,1,0.0065
U95,S62,1,0.1538
U95,S71,1,0.0065
U95,S87,1,0.1636
U95,S88,1,0.0266
U95,S95,1,0.0065
U44,S08,1,0.0000
U44,S21,1,0.0128
U103,S06,1,0.0266
U103,S07,1,0.0356
U103,S17,1,0.0128
U103,S21,1,0.0266
U103,S38,1,0.0035
U103,S48,1,0.1538
U103,S65,1,0.0035
U103,S71,1,0.0035
U308,S08,1,0.0003
U116,S25,1,0.0065
U116,S27,1,0.0035
U1010,S07,1,0.1196
U1010,S21,1,0.0003
U1010,S25,1,0.1196
U1010,S38,1,0.0003
U1010,S48,1,0.0266
U1010,S62,1,0.0356
U155,S06,1,0.0128
U155,S07,1,0.0356
U155,S08,1,0.0000
U155,S17,1,0.0128
U155,S20,1,0.0266
U155,S21,1,0.0065
U155,S25,1,0.0128
U155,S27,1,0.0266
U155,S62,1,0.0356
U155,S71,1,0.0003
U155,S95,1,0.0128
U155,S98,1,0.0266
U1031,S08,1,0.0266
U1031,S21,1,0.0035
U118,S08,1,0.0003
U118,S112,1,0.0356
U118,S25,1,0.1196
U118,S27,1,0.2800
U335,S06,1,0.0426
U335,S08,1,0.0035
U335,S17,1,0.0488
U335,S21,1,0.0356
U335,S25,1,0.0128
U335,S27,1,0.0426
U335,S38,1,0.0035
U335,S71,1,0.0003
U335,S95,1,0.0065
U120,S07,1,0.0128
U120,S08,1,0.0035
U120,S17,1,0.0488
