Symptom,Symbol,Category_cl,EntrezID
C0011991,CD40LG,protein,959
C0011991,SCN9A,protein,6335
C0011991,TTC37,protein,9652
C0011991,MLYCD,protein,23417
C0011991,KCNJ1,protein,3758
C0011991,HLA-B,protein,3106
C0011991,CYP7B1,protein,9420
C0011991,SAR1B,protein,51128
C0011991,NCF4,protein,4689
C0011991,SLC39A4,protein,55630
C0011991,SLC9A3,protein,6550
C0011991,NR3C2,protein,4306
C0011991,CD3D,protein,915
C0011991,SLC19A2,protein,10560
C0011991,ALAD,protein,210
C0011991,IGHM,protein,3507
C0011991,SI,protein,6476
C0011991,KCNJ11,protein,3767
C0011991,ABCB4,protein,5244
C0011991,SCNN1B,protein,6338
C0011991,CR2,protein,1380
C0011991,ZAP70,protein,7535
C0011991,DNMT3B,protein,1789
C0011991,HNF1A,protein,6927
C0011991,SLC7A7,protein,9056
C0011991,DDC,protein,1644
C0011991,IFNA2,protein,3440
C0011991,IL7R,protein,3575
C0011991,SGSH,protein,6448
C0011991,HMBS,protein,3145
C0011991,TTR,protein,7276
C0011991,IDS,protein,3423
C0011991,MVK,protein,4598
C0011991,SCNN1A,protein,6337
C0011991,HNF4A,protein,3172
C0011991,RAG1,protein,5896
C0011991,PIK3R1,protein,5295
C0011991,BTD,protein,686
C0011991,GNS,protein,2799
C0011991,GALT,protein,2592
C0011991,IL1RN,protein,3557
C0011991,DES,protein,1674
C0011991,RET,protein,5979
C0011991,AVP,protein,551
C0011991,ABCB11,protein,8647
C0011991,MPI,protein,4351
C0011991,UCP2,protein,7351
C0011991,LCK,protein,3932
C0011991,TNFRSF13B,protein,23495
C0011991,SCN11A,protein,11280
C0011991,ICOS,protein,29851
C0011991,CPT1A,protein,1374
C0011991,ATP8B1,protein,5205
C0011991,BTK,protein,695
C0011991,TSHR,protein,7253
C0011991,CPOX,protein,1371
C0011991,TNFRSF1A,protein,7132
C0011991,BLNK,protein,29760
C0011991,TMPRSS15,protein,5651
C0011991,CD79B,protein,974
C0021359,LEFTY2,protein,7044
C0021359,DPY19L2,protein,283417
C0021359,NR5A1,protein,2516
C0021359,LHCGR,protein,3973
C0021359,DDX3Y,protein,8653
C0021359,DAZ1,protein,1617
C0021359,CATSPER1,protein,117144
C0021359,GNRH1,protein,2796
C0021359,RXFP2,protein,122042
C0021359,EPPIN,protein,57119
C0021359,AURKC,protein,6795
C0021359,INHA,protein,3623
C0021359,FSHB,protein,2488
C0021359,PRLR,protein,5618
C0021359,DNAH1,protein,25981
C0021359,SPAG1,protein,6674
C0021359,PGR,protein,5241
C0021359,PRM1,protein,5619
C0021359,CATSPER2,protein,117155
C0021359,DAZL,protein,1618
C0021359,USP9Y,protein,8287
C0021359,TUBB8,protein,347688
C0021359,ESR2,protein,2100
C0021359,LHB,protein,3972
C0021359,PLCZ1,protein,89869
C0021359,PRM2,protein,5620
C0021359,DAZ4,protein,57135
C0021359,PRL,protein,5617
C0021359,ZP3,protein,7784
C0021359,CYP19A1,protein,1588
C0021359,FSHR,protein,2492
C0021359,INSL3,protein,3640
C0021359,ZP2,protein,7783
C0021359,H19,protein,283120
C0021359,NPHP4,protein,261734
C0021359,USP26,protein,83844
C0014335,ITGA4,protein,3676
C0014335,IL12RB2,protein,3595
C0014335,TNFSF15,protein,9966
C0014335,CEACAM6,protein,4680
C0014335,NDUFA13,protein,51079
C0014335,LACC1,protein,144811
C0014335,TLR9,protein,54106
C0014335,IL10RB,protein,3588
C0014335,TLR4,protein,7099
C0014335,IL18RAP,protein,8807
C0014335,IL6,protein,3569
C0014335,INAVA,protein,55765
C0014335,SLC22A5,protein,6584
C0014335,IRF5,protein,3663
C0014335,IL10RA,protein,3587
C0014335,IL23R,protein,149233
C0014335,UBE4A,protein,9354
C0014335,IRGM,protein,345611
C0014335,CRP,protein,1401
C0014335,MUC2,protein,4583
C0014335,TNFRSF1B,protein,7133
C0014335,ABCB1,protein,5243
C0014335,SLC11A1,protein,6556
C0014335,ATG16L1,protein,55054
C0014335,NOD2,protein,64127
C0014335,HP,protein,3240
C0014335,IL1B,protein,3553
C0014335,IL18BP,protein,10068
C0014335,IL10,protein,3586
C0014335,TNF,protein,7124
C0014335,DUOX2,protein,50506
C0014335,SLC22A4,protein,6583
C0014335,ADAM17,protein,6868
C0014335,SP140,protein,11262
C0014335,DLG5,protein,9231
C0003113,TARDBP,protein,23435
C0003113,FUS,protein,2521
C0003113,VCP,protein,7415
C0003113,GLI3,protein,2737
C0003113,CHMP2B,protein,25978
C0003113,PSEN1,protein,5663
C0003113,SMUG1,protein,23583
C0003113,C9orf72,protein,203228
C0003113,RILPL1,protein,353116
C0003113,TBK1,protein,29110
C0003113,TCAP,protein,8557
C0003113,SDC1,protein,6382
C0003113,PDGFB,protein,5155
C0003113,HTN3,protein,3347
C0003113,REM1,protein,28954
C0003113,AMY2A,protein,279
C0003113,GRN,protein,2896
C0003113,ACHE,protein,43
C0003113,MAPT,protein,4137
C0003113,CBS,protein,875
C0026821,PFN1,protein,5216
C0026821,PON3,protein,5446
C0026821,NEFH,protein,4744
C0026821,TARDBP,protein,23435
C0026821,EPHA4,protein,2043
C0026821,HSPB1,protein,3315
C0026821,FUS,protein,2521
C0026821,VCP,protein,7415
C0026821,CACNA1S,protein,779
C0026821,ATXN2,protein,6311
C0026821,MATR3,protein,9782
C0026821,CPT2,protein,1376
C0026821,ATP2A1,protein,487
C0026821,CAV3,protein,859
C0026821,ISCU,protein,23479
C0026821,CHMP2B,protein,25978
C0026821,HNRNPA1,protein,3178
C0026821,SOD1,protein,6647
C0026821,TREM2,protein,54209
C0026821,PON2,protein,5445
C0026821,TBK1,protein,29110
C0026821,UNC13A,protein,23025
C0026821,GABRA3,protein,2556
C0026821,CASQ1,protein,844
C0026821,GLA,protein,2717
C0026821,UBQLN2,protein,29978
C0026821,MORC2,protein,22880
C0026821,VAPB,protein,9217
C0026821,COL4A1,protein,1282
C0026821,SMN1,protein,6606
C0026821,LDHA,protein,3939
C0026821,SQSTM1,protein,8878
C0026821,AR,protein,367
C0026821,LMNA,protein,4000
C0026821,MYF6,protein,4618
C0026821,ANG,protein,283
C0026821,CHRNE,protein,1145
C0026821,PON1,protein,5444
C0026821,PRPH,protein,5630
C0026821,CASR,protein,846
C0026821,PPARGC1A,protein,10891
C0026821,ERBB4,protein,2066
C0026821,FIG4,protein,9896
C0026821,ATXN3,protein,4287
C0026821,GFPT1,protein,2673
C0026821,OPTN,protein,10133
C0026821,KCNJ1,protein,3758
C0026821,SLC12A3,protein,6559
C0026821,DNA2,protein,1763
C0026821,HINT1,protein,3094
C0026821,DMD,protein,1756
C0026821,SLC12A1,protein,6557
C0026821,STIM1,protein,6786
C0026821,SCN4A,protein,6329
C0026821,DCTN1,protein,1639
C0026821,DAO,protein,1610
C0036572,SLC17A7,protein,57030
C0036572,FGF2,protein,2247
C0036572,LAMB1,protein,3912
C0036572,GLUL,protein,2752
C0036572,HTT,protein,3064
C0036572,IFNB1,protein,3456
C0036572,NDUFS3,protein,4722
C0036572,CA8,protein,767
C0036572,SLC25A1,protein,6576
C0036572,PQBP1,protein,10084
C0036572,GSS,protein,2937
C0036572,GPHN,protein,10243
C0036572,KIF4A,protein,24137
C0036572,SLC35A2,protein,7355
C0036572,TREM2,protein,54209
C0036572,MYO5A,protein,4644
C0036572,ACOX1,protein,51
C0036572,CPLX1,protein,10815
C0036572,CYP27A1,protein,1593
C0036572,RPS6KA3,protein,6197
C0036572,KRIT1,protein,889
C0036572,MOCS1,protein,4337
C0036572,MEFV,protein,4210
C0036572,MOGS,protein,7841
C0036572,ATP8A2,protein,51761
C0036572,NDUFV2,protein,4729
C0036572,ERCC1,protein,2067
C0036572,SLC25A20,protein,788
C0036572,VPS13A,protein,23230
C0036572,ANKLE2,protein,23141
C0036572,ABCC8,protein,6833
C0036572,CHRNB2,protein,1141
C0036572,NDUFB9,protein,4715
C0036572,PEX12,protein,5193
C0036572,SLC12A3,protein,6559
C0036572,SNRPN,protein,6638
C0036572,PMS1,protein,5378
C0036572,PIGL,protein,9487
C0036572,SLC12A6,protein,9990
C0036572,DRD3,protein,1814
C0036572,SMARCB1,protein,6598
C0036572,MEN1,protein,4221
C0036572,IQSEC2,protein,23096
C0036572,PIGT,protein,51604
C0036572,BCKDHB,protein,594
C0036572,VLDLR,protein,7436
C0036572,DGUOK,protein,1716
C0036572,RECQL4,protein,9401
C0036572,NTNG1,protein,22854
C0036572,KDM5C,protein,8242
C0036572,GAD2,protein,2572
C0036572,BCKDK,protein,10295
C0036572,PTGS2,protein,5743
C0036572,SSR4,protein,6748
C0036572,RAI1,protein,10743
C0036572,CAD,protein,790
C0036572,DHCR24,protein,1718
C0036572,GRIN2B,protein,2904
C0036572,UBB,protein,7314
C0036572,PEX26,protein,55670
C0036572,CTSF,protein,8722
C0036572,MLC1,protein,23209
C0036572,PAX2,protein,5076
C0036572,NDUFAF3,protein,25915
C0036572,SST,protein,6750
C0036572,BCKDHA,protein,593
C0036572,CNTN2,protein,6900
C0036572,FGFR1,protein,2260
C0036572,PEX5,protein,5830
C0036572,CLDN16,protein,10686
C0036572,HDAC4,protein,9759
C0036572,SATB2,protein,23314
C0036572,DPYS,protein,1807
C0036572,FGFRL1,protein,53834
C0036572,EIF2B2,protein,8892
C0036572,HSPD1,protein,3329
C0036572,SCN9A,protein,6335
C0036572,SLC6A1,protein,6529
C0036572,ATP1A2,protein,477
C0036572,NAA10,protein,8260
C0036572,CRH,protein,1392
C0036572,B4GAT1,protein,11041
C0036572,COX10,protein,1352
C0036572,PREPL,protein,9581
C0036572,ARHGEF9,protein,23229
C0036572,HLA-B,protein,3106
C0036572,SIX3,protein,6496
C0036572,PSPH,protein,5723
C0036572,LRAT,protein,9227
C0036572,NDUFS2,protein,4720
C0036572,CRB1,protein,23418
C0036572,AMT,protein,275
C0036572,PEX14,protein,5195
C0036572,BSCL2,protein,26580
C0036572,MEF2C,protein,4208
C0036572,TBR1,protein,10716
C0036572,CHRNA4,protein,1137
C0036572,ABCC2,protein,1244
C0036572,TGFBR2,protein,7048
C0036572,AQP2,protein,359
C0036572,IMPDH1,protein,3614
C0036572,COX6B1,protein,1340
C0036572,ENG,protein,2022
C0036572,PDHA1,protein,5160
C0036572,HEXA,protein,3073
C0036572,MAF,protein,4094
C0036572,ADRA1B,protein,147
C0036572,PIGN,protein,23556
C0036572,RNF125,protein,54941
C0036572,PAFAH1B1,protein,5048
C0036572,PDGFB,protein,5155
C0036572,MSH2,protein,4436
C0036572,CLN6,protein,54982
C0036572,HNF1A,protein,6927
C0036572,MIB1,protein,57534
C0036572,TUBA1A,protein,7846
C0036572,MLH3,protein,27030
C0036572,ACADSB,protein,36
C0036572,SGSH,protein,6448
C0036572,HSD17B10,protein,3028
C0036572,DOLK,protein,22845
C0036572,IDS,protein,3423
C0036572,NSDHL,protein,50814
C0036572,ACTB,protein,60
C0036572,HMGCS2,protein,3158
C0036572,WWOX,protein,51741
C0036572,NRAS,protein,4893
C0036572,MVK,protein,4598
C0036572,RBM8A,protein,9939
C0036572,RTTN,protein,25914
C0036572,NIPBL,protein,25836
C0036572,NPY,protein,4852
C0036572,BCS1L,protein,617
C0036572,SMARCA2,protein,6595
C0036572,PDHX,protein,8050
C0036572,HSD17B4,protein,3295
C0036572,AIPL1,protein,23746
C0036572,MT3,protein,4504
C0036572,SPR,protein,6697
C0036572,GFAP,protein,2670
C0036572,TBX18,protein,9096
C0036572,EXT2,protein,2132
C0036572,SCN1A,protein,6323
C0036572,ACADS,protein,35
C0036572,AKT1,protein,207
C0036572,MPDU1,protein,9526
C0036572,PDCD10,protein,11235
C0036572,ATIC,protein,471
C0036572,BRAF,protein,673
C0036572,CNR1,protein,1268
C0036572,TBP,protein,6908
C0036572,CPT1A,protein,1374
C0036572,ERCC2,protein,2068
C0036572,CNNM2,protein,54805
C0036572,AAAS,protein,8086
C0036572,MYH3,protein,4621
C0036572,FOXRED1,protein,55572
C0036572,IL1B,protein,3553
C0036572,CASK,protein,8573
C0036572,RPIA,protein,22934
C0036572,TFAP2A,protein,7020
C0036572,IVD,protein,3712
C0036572,NDUFB11,protein,54539
C0036572,ASNS,protein,440
C0036572,DRD1,protein,1812
C0036572,CPS1,protein,1373
C0036572,ARSA,protein,410
C0036572,GLRA1,protein,2741
C0036572,CHKB,protein,1120
C0036572,PIK3CA,protein,5290
C0036572,FARS2,protein,10667
C0036572,PIGM,protein,93183
C0036572,TP53,protein,7157
C0036572,POMGNT1,protein,55624
C0036572,NELFA,protein,7469
C0036572,SERPINI1,protein,5274
C0036572,NDUFV1,protein,4723
C0036572,SLC12A5,protein,57468
C0036572,SLC8A3,protein,6547
C0036572,UBE2A,protein,7319
C0036572,SLC3A1,protein,6519
C0036572,PEX16,protein,9409
C0036572,GLA,protein,2717
C0036572,SDHA,protein,6389
C0036572,KCNJ10,protein,3766
C0036572,NEU1,protein,4758
C0036572,PURA,protein,5813
C0036572,PAH,protein,5053
C0036572,NDP,protein,4693
C0036572,MED12,protein,9968
C0036572,PRPS1,protein,5631
C0036572,TSC2,protein,7249
C0036572,ALDH3A2,protein,224
C0036572,NDUFB3,protein,4709
C0036572,NGF,protein,4803
C0036572,IFT140,protein,9742
C0036572,ERCC6,protein,2074
C0036572,PEX11B,protein,8799
C0036572,CLIC2,protein,1193
C0036572,MANBA,protein,4126
C0036572,RRM2B,protein,50484
C0036572,KCNJ13,protein,3769
C0036572,WFS1,protein,7466
C0036572,UBE3A,protein,7337
C0036572,POMT1,protein,10585
C0036572,CCK,protein,885
C0036572,FGFR2,protein,2263
C0036572,FOLR1,protein,2348
C0036572,TBX1,protein,6899
C0036572,GLI3,protein,2737
C0036572,RAB27A,protein,5873
C0036572,ABAT,protein,18
C0036572,FRG1,protein,2483
C0036572,SEPSECS,protein,51091
C0036572,MTR,protein,4548
C0036572,TULP1,protein,7287
C0036572,PLA2G6,protein,8398
C0036572,MGP,protein,4256
C0036572,KCNQ3,protein,3786
C0036572,ERCC5,protein,2073
C0036572,CCDC88A,protein,55704
C0036572,RYR2,protein,6262
C0036572,PNKP,protein,11284
C0036572,ZBTB18,protein,10472
C0036572,SOX11,protein,6664
C0036572,SSTR2,protein,6752
C0036572,GCM2,protein,9247
C0036572,SETBP1,protein,26040
C0036572,SURF1,protein,6834
C0036572,EIF2B4,protein,8890
C0036572,ZNF592,protein,9640
C0036572,COX15,protein,1355
