SID,Symbol,Category_cl,EntrezID
S08,SLC18A2,protein,6571
S08,TRHR,protein,7201
S08,SMC3,protein,9126
S08,POU1F1,protein,5449
S08,NDST1,protein,3340
S08,LHX3,protein,8022
S08,TNXB,protein,7148
S08,SLC9A6,protein,10479
S08,THRA,protein,7067
S08,GNS,protein,2799
S08,ASPA,protein,443
S08,IDUA,protein,3425
S08,SNCAIP,protein,9627
S08,RAD21,protein,5885
S08,TSHB,protein,7252
S08,PRNP,protein,5621
S08,SPR,protein,6697
S08,HESX1,protein,8820
S08,NSDHL,protein,50814
S08,FLII,protein,2314
S08,NR4A2,protein,4929
S08,NAGLU,protein,4669
S08,DDC,protein,1644
S08,THRB,protein,7068
S08,RAI1,protein,10743
S08,PPT1,protein,5538
S08,SEPSECS,protein,51091
S08,TSHR,protein,7253
S08,PER2,protein,8864
S08,LEP,protein,3952
S08,CTNNBL1,protein,56259
S08,ARIH1,protein,25820
S08,CHKB,protein,1120
S08,TRA,protein,6955
S08,MOG,protein,4340
S08,IGLON5,protein,402665
S08,PRL,protein,5617
S08,TFAP2B,protein,7021
S08,HCRT,protein,3060
S08,CPT1B,protein,1375
S08,SLC4A1,protein,6521
S08,HAPLN1,protein,1404
S08,HCRTR1,protein,3061
S08,HCRTR2,protein,3062
S08,IL6,protein,3569
S08,FXYD1,protein,5348
S08,HLA-DQA2,protein,3118
S08,DNMT1,protein,1786
S08,TOR1B,protein,27348
S08,PER3,protein,8863
S08,CRY1,protein,1407
S08,MMD,protein,23531
S08,CRP,protein,1401
S08,CHKB-CPT1B,protein,386593
S08,CLIP2,protein,7461
S08,HLA-DQB1,protein,3119
S08,GTF2IRD1,protein,9569
S08,RFC2,protein,5982
S08,GTF2I,protein,2969
S08,BAZ1B,protein,9031
S08,ZNF365,protein,22891
S08,HLA-DRB1,protein,3123
S08,LIMK1,protein,3984
S08,ELN,protein,2006
S08,CPOX,protein,1371
S08,TBL2,protein,26608
S08,HMBS,protein,3145
S102,GJB1,protein,2705
S102,MAPT,protein,4137
S102,TMEM106B,protein,54664
S102,CHMP2B,protein,25978
S102,VCP,protein,7415
S102,TREM2,protein,54209
S102,GRN,protein,2896
S102,PSEN1,protein,5663
S102,SLC16A2,protein,6567
S102,APP,protein,351
S102,L1CAM,protein,3897
S102,FRRS1L,protein,23732
S102,PLAT,protein,5327
S102,GRIN2A,protein,2903
S102,FOXP2,protein,93986
S102,SNCA,protein,6622
S102,SLC20A2,protein,6575
S102,NEXMIF,protein,340533
S102,ADA2,protein,51816
S102,GRIN2B,protein,2904
S102,NOTCH3,protein,4854
S102,PRNP,protein,5621
S102,LRRK2,protein,120892
S102,APOE,protein,348
S102,ATP1A2,protein,477
S102,CNTNAP5,protein,129684
S102,MRPL19,protein,9801
S102,SLITRK2,protein,84631
S102,DIP2A,protein,23181
S102,GCFC2,protein,6936
S102,KIAA0319,protein,9856
S102,GNPTAB,protein,79158
S102,NEDD4L,protein,23327
S102,DCDC2,protein,51473
S102,SQSTM1,protein,8878
S102,DNAAF4,protein,161582
S102,KIAA0319L,protein,79932
S102,PCSK6,protein,5046
S102,PCDH11X,protein,27328
S102,FMR1-AS1,protein,100126270
S102,DRD4,protein,1815
S102,ATP2C2,protein,9914
S102,GTF2I,protein,2969
S102,GNPTG,protein,84572
S102,ROBO1,protein,6091
S102,SEMA4F,protein,10505
S102,DNAAF4-CCPG1,protein,100533483
S102,ACOT13,protein,55856
S102,MYO18B,protein,84700
S102,CEP63,protein,80254
S102,RIPOR2,protein,9750
S102,DGKI,protein,9162
S102,DOCK4,protein,9732
S102,NAGPA,protein,51172
S102,PDGFC,protein,56034
S102,ZNF280D,protein,54816
S102,LBR,protein,3930
S102,WDFY2,protein,115825
S102,KANTR,protein,102723508
S102,PPP3CA,protein,5530
S102,MBP,protein,4155
S102,LINC-PINT,protein,378805
S102,TARDBP,protein,23435
S102,SDHAF2,protein,54949
S102,SDHD,protein,6392
S102,SDHC,protein,6391
S102,GALT,protein,2592
S102,RAI1,protein,10743
S102,SRPX2,protein,27286
S102,PACS1,protein,55690
S102,ERC1,protein,23085
S102,CNTNAP2,protein,26047
S102,ZGRF1,protein,55345
S102,SH2B1,protein,25970
S102,LGI1,protein,9211
S102,SMUG1,protein,23583
S102,CMIP,protein,80790
S102,FUS,protein,2521
S102,MECP2,protein,4204
S102,ADGRG1,protein,9289
S102,TRPV1,protein,7442
S102,TOR3A,protein,64222
S102,DRD2,protein,1813
S102,FOXP1,protein,27086
S102,BCR,protein,613
S102,ANKK1,protein,255239
S102,SYNGAP1,protein,8831
S102,USP15,protein,9958
S102,MAPK1,protein,5594
S102,CRKL,protein,1399
S102,ZNF277,protein,11179
S102,ADNP,protein,23394
S102,NFXL1,protein,152518
S102,TM4SF20,protein,79853
S102,TBK1,protein,29110
S102,CBS,protein,875
S102,LINC01162,protein,104355138
S102,PLG,protein,5340
S102,SEC24C,protein,9632
S102,RREB1,protein,6239
S102,STS,protein,412
S102,COMT,protein,1312
S102,ARVCF,protein,421
S102,ATRX,protein,546
S102,CACNA1A,protein,773
S102,TBX1,protein,6899
S102,OCRL,protein,4952
S102,HIRA,protein,7290
S102,GP1BB,protein,2812
S103,PLP1,protein,5354
S103,ALDH7A1,protein,501
S103,LRPPRC,protein,10128
S103,NSDHL,protein,50814
S103,HUWE1,protein,10075
S103,ATP6V0A2,protein,23545
S103,RNF125,protein,54941
S103,TBX2,protein,6909
S103,FGFR1,protein,2260
S103,GRIN2A,protein,2903
S103,FKTN,protein,2218
S103,NSUN2,protein,54888
S103,PEX1,protein,5189
S103,HERC2,protein,8924
S103,BSCL2,protein,26580
S103,ATP6AP2,protein,10159
S103,MTPAP,protein,55149
S103,FOXP1,protein,27086
S103,CP,protein,1356
S103,CHKB,protein,1120
S103,PIK3R1,protein,5295
S103,FLII,protein,2314
S103,IQSEC2,protein,23096
S103,AFF2,protein,2334
S103,TBX4,protein,9496
S103,ACADS,protein,35
S103,DHTKD1,protein,55526
S103,TBX1,protein,6899
S103,SLC6A8,protein,6535
S103,AP4B1,protein,10717
S103,NF1,protein,4763
S103,NDN,protein,4692
S103,IGF1R,protein,3480
S103,DPYS,protein,1807
S103,PDE4D,protein,5144
S103,TSHR,protein,7253
S103,TPP1,protein,1200
S103,ZMYND11,protein,10771
S103,LEMD3,protein,23592
S103,EFTUD2,protein,9343
S103,EZH2,protein,2146
S103,XRCC4,protein,7518
S103,SDCCAG8,protein,10806
S103,MKKS,protein,8195
S103,SIM1,protein,6492
S103,AASS,protein,10157
S103,MEIS2,protein,4212
S103,RPS6KA3,protein,6197
S103,MEF2C,protein,4208
S103,SOBP,protein,55084
S103,CREBBP,protein,1387
S103,MECP2,protein,4204
S103,MYT1L,protein,23040
S103,TINF2,protein,26277
S103,PRKRA,protein,8575
S103,IPW,protein,3653
S103,MAGEL2,protein,54551
S103,KAT6B,protein,23522
S103,VLDLR,protein,7436
S103,CBL,protein,867
S103,SH2B1,protein,25970
S103,AUH,protein,549
S103,ALDH5A1,protein,7915
S103,KCNJ10,protein,3766
S103,SETD5,protein,55209
S103,BBS4,protein,585
S103,EP300,protein,2033
S103,PTEN,protein,5728
S103,FTSJ1,protein,24140
S103,TH,protein,7054
S103,KDM5C,protein,8242
S103,BTK,protein,695
S103,ADSL,protein,158
S103,GALE,protein,2582
S103,AGA,protein,175
S103,UBE3A,protein,7337
S103,IFT172,protein,26160
S103,DPYD,protein,1806
S103,KMT2A,protein,4297
S103,PGK1,protein,5230
S103,AIFM1,protein,9131
S103,ASPA,protein,443
S103,ADK,protein,132
S103,FLNA,protein,2316
S103,OPHN1,protein,4983
S103,SPTBN2,protein,6712
S103,SNRPN,protein,6638
S103,SOX5,protein,6660
S103,SIN3A,protein,25942
S103,SATB2,protein,23314
S103,GATM,protein,2628
S103,SF3B4,protein,10262
S103,MAPRE2,protein,10982
S103,RAI1,protein,10743
S103,SPARC,protein,6678
S103,MKRN3,protein,7681
S103,NPAP1,protein,23742
S103,HMGA2,protein,8091
S103,HSD17B10,protein,3028
S103,SLC17A5,protein,26503
S103,PRKAR1A,protein,5573
S103,L1CAM,protein,3897
S103,DLG3,protein,1741
S103,CAMTA1,protein,23261
S103,DAG1,protein,1605
S103,CLN8,protein,2055
S103,PAK3,protein,5063
S103,PYCR1,protein,5831
S103,PLA2G6,protein,8398
S103,THRB,protein,7068
S103,PMPCA,protein,23203
S103,BBS1,protein,582
S103,NIPBL,protein,25836
S103,GAMT,protein,2593
S104,MLX,protein,6945
S104,MMACHC,protein,25974
S104,CRHR2,protein,1395
S104,IGH,protein,3492
S104,TNF,protein,7124
S104,NPY,protein,4852
S104,HMBS,protein,3145
S104,SLC19A2,protein,10560
S104,MMADHC,protein,27249
S104,IFNA2,protein,3440
S104,HTR4,protein,3360
S104,IL2,protein,3558
S104,PYY,protein,5697
S104,AQP2,protein,359
S104,UCN2,protein,90226
S104,IL1B,protein,3553
S104,IL1RN,protein,3557
S104,SCARB2,protein,950
S104,PTPN22,protein,26191
S104,CCK,protein,885
S104,ALPL,protein,249
S104,TNFRSF10A,protein,8797
S104,HLCS,protein,3141
S104,CRHR1,protein,1394
S104,IL12B,protein,3593
S104,ARG1,protein,383
S104,HLA-B,protein,3106
S104,CRH,protein,1392
S104,AVPR2,protein,554
S104,CCND1,protein,595
S104,TNFRSF1A,protein,7132
S104,GLA,protein,2717
S104,ATM,protein,472
S106,MAOA,protein,4128
S106,RTN4,protein,57142
S106,WASF1,protein,8936
S106,COMT,protein,1312
S106,CORT,protein,1325
S106,FKBP5,protein,2289
S106,DPP4,protein,1803
S106,PSMD9,protein,5715
S106,SLC6A4,protein,6532
S106,HTR7,protein,3363
S106,TPH2,protein,121278
S106,CYP2D6,protein,110740340
S106,HTR2A,protein,3356
S106,HTR1A,protein,3350
S106,BDNF,protein,627
S106,NR3C1,protein,2908
S106,CRH,protein,1392
S106,OXT,protein,5020
S106,IER3IP1,protein,51124
S106,SLC6A2,protein,6530
S106,GATA3,protein,2625
S106,WASF2,protein,10163
S106,TPH1,protein,7166
S106,POMC,protein,5443
S106,DCTN1,protein,1639
S106,HTR2C,protein,3358
S106,FMR1,protein,2332
S106,AP2B1,protein,163
S106,SLC5A7,protein,60482
S106,NCKAP5,protein,344148
S106,SERPINE1,protein,5054
S106,VDR,protein,7421
S106,FASN,protein,2194
S106,DAO,protein,1610
S106,CYP1A1,protein,1543
S106,CYP1B1,protein,1545
S106,CYP19A1,protein,1588
S106,IFNAR1,protein,3454
S106,MMP9,protein,4318
S106,IL10,protein,3586
S106,R3HDML,protein,140902
S106,SYNDIG1,protein,79953
S106,ABCC9,protein,10060
S106,ACE,protein,1636
S106,MAPK14,protein,1432
S106,CYP3A4,protein,1576
S106,SULT1A1,protein,6817
S106,KCNS1,protein,3787
S106,TXNRD2,protein,10587
S106,IFNA1,protein,3439
S106,TIMP1,protein,7076
S106,AVP,protein,551
S106,TGFB1,protein,7040
S106,SYNJ2,protein,8871
S106,LRRK2,protein,120892
S109,ACADSB,protein,36
S109,NDUFS1,protein,4719
S109,ACADVL,protein,37
S109,NFU1,protein,27247
S109,PDHA1,protein,5160
S109,CPT2,protein,1376
S109,NDUFV2,protein,4729
S109,NDUFAF4,protein,29078
S109,CPT1A,protein,1374
S109,SLC25A15,protein,10166
S109,CPS1,protein,1373
S109,ACADM,protein,34
S109,ATG7,protein,10533
S109,NDUFS2,protein,4720
S109,AVP,protein,551
S109,NDUFS3,protein,4722
S109,DBT,protein,1629
S109,NDUFB9,protein,4715
S109,PAX8,protein,7849
S109,KCNJ11,protein,3767
S109,PCCB,protein,5096
S109,NDUFS4,protein,4724
S109,NDUFAF3,protein,25915
S109,BTD,protein,686
S109,CYP24A1,protein,1591
S109,ATG5,protein,9474
S109,ASPA,protein,443
S109,TCN2,protein,6948
S109,ASS1,protein,445
S109,ASL,protein,435
S109,EIF2B4,protein,8890
S109,SLC25A20,protein,788
S109,EIF2B3,protein,8891
S109,EIF2B5,protein,8893
S109,ABCC8,protein,6833
S109,HNF1A,protein,6927
S109,SLC39A4,protein,55630
S109,EIF2B2,protein,8892
S109,FOXRED1,protein,55572
S109,SLC19A2,protein,10560
S109,OTC,protein,5009
S109,SLC22A5,protein,6584
S109,AMT,protein,275
S109,DPYS,protein,1807
S109,GK,protein,2710
S109,ABCD4,protein,5826
S109,NDUFB3,protein,4709
S109,GCSH,protein,2653
S109,IVD,protein,3712
S109,HNF4A,protein,3172
S109,ABAT,protein,18
S109,NDUFAF1,protein,51103
S109,ACADS,protein,35
S109,NDUFS6,protein,4726
