node	type
C1963154	disease
C0019825	disease
C0456909	disease
C0003635	disease
C0013595	disease
C0042798	disease
C0023380	disease
C0234144	disease
C0013604	disease
C0037315	disease
C0037317	disease
C0851578	disease
C0241210	disease
C0020305	disease
C0398650	disease
C1262477	disease
C0043094	disease
C1384666	disease
C1691779	disease
C0030193	disease
C0020429	disease
C1860844	disease
C0018681	disease
C0012833	disease
C0206160	disease
C0033377	disease
C4020887	disease
C0018834	disease
C0008489	disease
C0006271	disease
C0030486	disease
C1836296	disease
C0032617	disease
C0042024	disease
C0007758	disease
C0014118	disease
C0008031	disease
C2364082	disease
C0003126	disease
C0023186	disease
C0751265	disease
C0042384	disease
C0040034	disease
C0231712	disease
C0021368	disease
C0030232	disease
C0029089	disease
C0005745	disease
C0003123	disease
C0271097	disease
C2931205	disease
C1568248	disease
C1568249	disease
C0699731	disease
C0086132	disease
C0020505	disease
C0013491	disease
C0023012	disease
C0023015	disease
C0973461	disease
C0233565	disease
C0039070	disease
C0040822	disease
C0234376	disease
C0003578	disease
C3714756	disease
C0020796	disease
C0018776	disease
C0042571	disease
C0234133	disease
C0234132	disease
C0234378	disease
PHYHIP	gene
KIF15	gene
GPANK1	gene
PNMA1	gene
ZRSR2	gene
TTC33	gene
NRF1	gene
MAN1B1	gene
PI4KA	gene
RGS20	gene
SLC15A1	gene
RTL8C	gene
EIF3I	gene
PAXIP1	gene
FAXDC2	gene
SLC10A6	gene
MT1A	gene
TP53	gene
SORT1	gene
PALMD	gene
LRP5	gene
FOXP3	gene
RPS8	gene
SART3	gene
CD7	gene
SFXN5	gene
MRPL9	gene
TMEM177	gene
PSMC4	gene
AARSD1	gene
EGR1	gene
PIGX	gene
SNRPD2	gene
PRPF4	gene
KRTAP4-5	gene
KRTAP10-7	gene
TAF1	gene
SNHG12	gene
VAV3	gene
ZRANB1	gene
KRTAP5-9	gene
KRTAP10-3	gene
HMOX2	gene
LMF2	gene
FOS	gene
SIRT1	gene
DNAJC3	gene
UBC	gene
LGALS9	gene
PDIA6	gene
MYC	gene
PQBP1	gene
MAP3K6	gene
KRT20	gene
DDIT4L	gene
TUBGCP5	gene
MZT2A	gene
F2	gene
SPP1	gene
NCSTN	gene
DNM1	gene
CABIN1	gene
NUDC	gene
IFT122	gene
CD53	gene
SMAGP	gene
GSK3B	gene
NOTCH2	gene
GAST	gene
NAXD	gene
KRTAP10-9	gene
SLC7A14	gene
MMGT1	gene
PVR	gene
SLC41A2	gene
CLCN7	gene
MANSC1	gene
CCNB1	gene
CCNB2	gene
ADAP1	gene
ATF5	gene
SYCE1L	gene
CDK2	gene
PRMT1	gene
NDUFS8	gene
NDUFAF3	gene
PITX1	gene
KRTAP19-7	gene
PIK3R1	gene
SYK	gene
SRPK1	gene
UBE2E2	gene
SMARCA2	gene
HOXD12	gene
MAFB	gene
BZW2	gene
