symptom1,symptom2,Similarity
C0021359,S69,0.734
C0021359,S71,0.722
C0021359,C0018681,0.751
C0021359,C0012833,0.745
C0021359,C0206160,0.722
C0021359,C0033377,0.744
C0021359,C4020887,0.748
C0021359,C0018834,0.737
C0021359,C0008489,0.708
C0021359,C0006271,0.739
C0021359,C0030486,0.721
C0021359,C1836296,0.756
C0021359,C0032617,0.75
C0021359,C0042024,0.748
C0021359,C0007758,0.701
C0021359,C0014118,0.726
C0021359,C0008031,0.757
C0021359,C2364082,0.741
C0021359,C0003126,0.743
C0021359,C0023186,0.741
C0021359,C0751265,0.739
C0021359,C0042384,0.741
C0021359,C0040034,0.786
C0021359,C0231712,0.739
C0021359,C0021368,0.748
C0021359,C0030232,0.737
C0021359,C0029089,0.746
C0021359,C0005745,0.744
C0021359,C0003123,0.759
C0021359,C0271097,0.706
C0021359,C2931205,0.706
C0021359,C1568248,0.706
C0021359,C1568249,0.74
C0021359,C0699731,0.715
C0021359,C0086132,0.754
C0021359,C0020505,0.751
C0021359,C0013491,0.755
C0021359,C0023012,0.714
C0021359,C0023015,0.749
C0021359,C0973461,0.724
C0021359,C0233565,0.741
C0021359,C0039070,0.716
C0021359,C0040822,0.725
C0021359,C0234376,0.739
C0021359,C0003578,0.743
C0021359,C3714756,0.67
C0021359,C0020796,0.74
C0021359,C0018776,0.741
C0021359,C0042571,0.745
C0021359,C0234133,0.733
C0021359,C0234132,0.732
C0021359,C0234378,0.691
C0021359,S02,0.736
C0021359,S06,0.711
C0021359,S07,0.721
C0021359,S08,0.75
C0021359,S102,0.726
C0021359,S103,0.714
C0021359,S104,0.759
C0021359,S106,0.745
C0021359,S109,0.699
C0021359,S111,0.752
C0021359,S112,0.721
C0021359,S114,0.71
C0021359,S115,0.73
C0021359,S116,0.763
C0021359,S119,0.706
C0021359,S120,0.74
C0021359,S121,0.776
C0021359,S125,1.0
C0021359,S128,0.731
C0021359,S137,0.735
C0021359,S138,0.724
C0021359,S14,0.732
C0021359,S142,0.745
C0021359,S144,0.742
C0021359,S145,0.743
C0021359,S147,0.766
C0021359,S148,0.742
C0021359,S15,0.75
C0021359,S150,0.743
C0021359,S155,0.73
C0021359,S158,0.708
C0021359,S159,0.752
C0021359,S161,0.687
C0021359,S162,0.753
C0021359,S163,0.756
C0021359,S169,0.727
C0021359,S17,0.728
C0021359,S170,0.736
C0021359,S172,0.723
C0021359,S177,0.712
C0021359,S182,0.739
C0021359,S183,0.772
C0021359,S185,0.744
C0021359,S189,0.727
C0021359,S190,0.736
C0021359,S192,0.738
C0021359,S20,0.728
C0021359,S200,0.764
C0021359,S21,0.714
C0021359,S213,0.706
C0021359,C0023014,0.708
C0021359,C0015672,0.719
C0021359,C0271215,0.752
C0021359,C0028754,0.687
C0021359,C0028756,0.753
C0021359,C3203358,0.756
C0021359,C0031154,0.727
C0021359,C0000737,0.738
C0021359,C0086565,0.736
C0021359,C0019214,0.723
C0021359,C0235153,0.741
C0021359,C0018784,0.712
C0021359,C0020455,0.739
C0021359,C0020438,0.772
C0021359,C0020538,0.744
C0021359,C0751837,0.727
C0021359,C0009460,0.735
C0021359,C0151825,0.741
C0021359,C0162298,0.751
C0021359,C0086437,0.738
C0021359,C0003862,0.744
C0021359,C0152031,0.768
C0021359,C0035229,0.764
C0021359,C0231835,0.696
C0021359,C0013404,0.735
C0021359,C0476273,0.748
C0021359,C1145670,0.764
C0021359,C0009421,0.719
C0021359,C0026838,0.706
C0021359,C0026846,0.748
C0021359,C0151786,0.711
C0021359,C0015644,0.768
C0021359,C0026826,0.726
C0021359,C0013421,0.705
C0021359,C0027066,0.725
C0021359,C0542476,0.745
C0021359,C0751295,0.745
C0021359,C0002622,0.761
C0021359,C0234979,0.721
C0021359,C1838869,0.733
C0021359,C0003537,0.743
C0021359,C0917816,0.674
C0021359,C0221263,0.75
C0021359,C0010200,0.762
C0021359,C0178417,0.746
C0021359,C0231807,0.762
C0021359,C0162674,0.723
C0021359,C0427055,0.752
C0021359,C0476254,0.73
C0021359,C1963137,0.74
C0021359,C0231791,0.729
C0021359,C0005779,0.751
C0021359,C0042963,0.717
C0021359,C0237326,0.714
C0021359,C0016382,0.739
C0021359,C0151908,0.737
C0021359,C0085636,0.748
C0021359,C0022346,0.722
C0021359,C0033774,0.743
C0021359,C0034150,0.76
C0021359,C0015230,0.747
C0021359,C0155320,0.681
C0021359,C0018989,0.734
C0021359,C0022116,0.738
C0021359,C0018780,0.742
C0021359,C0032285,0.746
C0021359,C0026837,0.73
C0021359,C0427190,0.715
C0021359,C0152200,0.717
C0021359,C0231528,0.738
C0021359,C0746674,0.737
C0021359,C0240735,0.744
C0021359,C3668816,0.738
C0021359,C0002418,0.724
C0021359,C0009398,0.755
C0021359,C0700078,0.727
C0021359,C0270948,0.718
C0021359,C0035078,0.741
C0021359,C1963154,0.744
C0021359,C0019825,0.779
C0021359,C0456909,0.753
C0021359,C0003635,0.737
C0021359,C0013595,0.759
C0021359,C0042798,0.728
C0021359,C0023380,0.696
C0021359,C0234144,0.747
C0021359,C0013604,0.729
C0021359,C0037315,0.735
C0021359,C0037317,0.737
C0021359,C0851578,0.758
C0021359,C0241210,0.714
C0021359,C0020305,0.731
C0021359,C0398650,0.75
C0021359,C1262477,0.729
C0021359,C0043094,0.734
C0021359,C1384666,0.708
C0021359,C1691779,0.74
C0021359,C0030193,0.729
C0021359,C0020429,0.744
C0021359,C1860844,0.736
C0023530,C0231807,0.777
C0023530,C0162674,0.779
C0023530,C0427055,0.775
C0023530,C0476254,0.775
C0023530,C1963137,0.775
C0023530,C0231791,0.747
C0023530,C0005779,0.809
C0023530,C0042963,0.761
C0023530,C0237326,0.755
C0023530,C0016382,0.787
C0023530,C0151908,0.763
C0023530,C0085636,0.772
C0023530,C0022346,0.771
C0023530,C0033774,0.794
C0023530,C0034150,0.817
C0023530,C0015230,0.783
C0023530,C0155320,0.706
C0023530,C0018989,0.784
C0023530,C0022116,0.783
C0023530,C0018780,0.758
C0023530,C0032285,0.819
C0023530,C0026837,0.765
C0023530,C0427190,0.742
C0023530,C0152200,0.72
C0023530,C0231528,0.783
C0023530,C0746674,0.776
C0023530,C0240735,0.775
C0023530,C3668816,0.805
C0023530,C0002418,0.759
C0023530,C0009398,0.756
C0023530,C0700078,0.759
C0023530,C0270948,0.755
C0023530,C0035078,0.774
C0023530,C1963154,0.774
C0023530,C0019825,0.786
C0023530,C0456909,0.762
C0023530,C0003635,0.782
C0023530,C0013595,0.807
C0023530,C0042798,0.75
C0023530,C0023380,0.744
C0023530,C0234144,0.785
C0023530,C0013604,0.782
C0023530,C0037315,0.791
C0023530,C0037317,0.766
C0023530,C0851578,0.787
C0023530,C0241210,0.75
