symptom1,symptom2,Similarity
C0018989,S185,0.823
C0018989,S189,0.808
C0018989,S190,0.806
C0018989,S192,0.81
C0018989,S20,0.849
C0018989,S200,0.818
C0018989,S21,0.823
C0018989,S213,0.804
C0018989,S214,0.824
C0018989,S215,0.811
C0018989,S216,0.796
C0018989,S217,0.801
C0018989,S22,0.82
C0018989,S221,0.758
C0018989,S234,0.77
C0018989,S244,0.785
C0018989,S246,0.768
C0018989,S25,0.825
C0018989,S252,0.797
C0018989,S260,0.814
C0018989,S27,0.846
C0018989,S273,0.784
C0018989,S279,0.816
C0018989,S282,0.818
C0018989,S286,0.747
C0018989,S291,0.774
C0018989,S294,0.821
C0018989,S297,0.822
C0018989,S299,0.804
C0018989,S30,0.823
C0018989,S300,0.846
C0018989,S306,0.841
C0018989,S309,0.702
C0018989,S313,0.831
C0018989,S314,0.772
C0018989,S318,0.837
C0018989,S321,0.806
C0018989,S325,0.803
C0018989,S327,0.709
C0018989,S33,0.797
C0018989,S330,0.816
C0018989,S333,0.79
C0018989,S334,0.806
C0018989,S335,0.754
C0018989,S343,0.802
C0018989,S345,0.805
C0018989,S346,0.805
C0018989,S349,0.832
C0018989,S350,0.83
C0018989,S355,0.804
C0018989,S358,0.785
C0018989,S359,0.852
C0018989,S360,0.805
C0018989,S363,0.8
C0018989,S368,0.823
C0018989,S375,0.726
C0018989,S38,0.816
C0018989,S380,0.797
C0018989,S387,0.803
C0018989,S388,0.77
C0018989,S389,0.638
C0018989,S39,0.8
C0018989,S397,0.818
C0018989,S398,0.835
C0018989,S404,0.8
C0018989,S408,0.752
C0018989,S410,0.78
C0018989,S411,0.846
C0018989,S418,0.802
C0018989,S42,0.812
C0018989,S420,0.826
C0018989,S422,0.723
C0018989,S428,0.795
C0018989,S430,0.734
C0018989,S431,0.728
C0018989,S437,0.816
C0018989,S44,0.827
C0018989,S443,0.787
C0018989,S444,0.78
C0018989,S445,0.823
C0018989,S446,0.773
C0018989,S447,0.805
C0018989,S449,0.793
C0018989,S456,0.815
C0018989,S462,0.842
C0018989,S463,0.783
C0018989,S464,0.78
C0018989,S466,0.78
C0427190,S112,0.731
C0427190,S114,0.774
C0427190,S115,0.725
C0427190,S116,0.742
C0427190,S119,0.678
C0427190,S120,0.719
C0427190,S121,0.753
C0427190,S125,0.715
C0427190,S128,0.75
C0427190,S137,0.755
C0427190,S138,0.746
C0427190,S14,0.774
C0427190,S142,0.742
C0427190,S144,0.737
C0427190,S145,0.777
C0427190,S147,0.764
C0427190,S148,0.772
C0427190,S15,0.743
C0427190,S150,0.749
C0427190,S155,0.751
C0427190,S158,0.785
C0427190,S159,0.783
C0427190,S161,0.719
C0427190,S162,0.755
C0427190,S163,0.768
C0427190,S169,0.731
C0427190,S17,0.743
C0427190,S170,0.745
C0427190,S172,0.757
C0427190,S177,0.742
C0427190,S182,0.753
C0427190,S183,0.764
C0427190,S185,0.767
C0427190,S189,0.84
C0427190,S190,0.831
C0427190,S192,0.752
C0427190,S20,0.741
C0427190,S200,0.747
C0427190,S21,0.744
C0427190,S213,0.763
C0427190,S214,0.769
C0427190,S215,0.747
C0427190,S216,0.765
C0427190,S217,0.773
C0427190,S22,0.795
C0427190,S221,0.693
C0427190,S234,0.807
C0427190,S244,0.778
C0427190,S246,0.718
C0427190,S25,0.756
C0427190,S252,0.756
C0427190,S260,0.801
C0427190,S27,0.742
C0427190,S273,0.765
C0427190,S279,0.778
C0427190,S282,0.768
C0427190,S286,0.736
C0427190,S291,0.715
C0427190,S294,0.769
C0427190,S297,0.75
C0427190,S299,0.76
C0427190,S30,0.745
C0427190,S300,0.765
C0427190,S306,0.75
C0427190,S309,0.738
C0427190,S313,0.775
C0427190,S314,0.767
C0427190,S318,0.726
C0427190,S321,0.812
C0427190,S325,1.0
C0427190,S327,0.746
C0427190,S33,0.719
C0427190,S330,0.798
C0427190,S333,0.708
C0427190,S334,0.767
C0427190,S335,0.772
C0427190,S343,0.78
C0427190,S345,0.76
C0427190,S346,0.773
C0427190,S349,0.755
C0427190,S350,0.753
C0427190,S355,0.781
C0427190,S358,0.774
C0427190,S359,0.81
C0427190,S360,0.728
C0427190,S363,0.782
C0427190,S368,0.749
C0427190,S375,0.73
C0427190,S38,0.737
C0427190,S380,0.726
C0427190,S387,0.742
C0427190,S388,0.766
C0427190,S389,0.685
C0427190,S39,0.774
C0427190,S397,0.771
C0427190,S398,0.763
C0427190,S404,0.752
C0427190,S408,0.739
C0427190,S410,0.765
C0427190,S411,0.765
C0917816,S463,0.737
C0917816,S464,0.804
C0917816,S466,0.743
C0917816,S475,0.64
C0917816,S476,0.64
C0917816,S477,0.64
C0917816,S478,0.693
C0917816,S479,0.895
C0917816,S48,0.738
C0917816,S483,0.751
C0917816,S497,0.779
C0917816,S498,0.994
C0917816,S499,0.757
C0917816,S500,0.705
C0917816,S501,0.75
C0917816,S502,0.729
C0917816,S503,0.72
C0917816,S62,0.85
C0917816,S64,0.834
C0917816,S65,0.798
C0917816,S66,0.737
C0917816,S69,0.696
C0917816,S71,0.791
C0917816,S73,0.732
C0917816,S75,0.893
C0917816,S80,0.954
C0917816,S86,0.861
C0917816,S87,0.823
C0917816,S88,0.793
C0917816,S90,0.848
C0917816,S95,0.873
C0917816,S96,0.771
C0917816,S98,0.842
C0221263,C0010200,0.813
C0221263,C0178417,0.786
C0221263,C0231807,0.81
C0221263,C0162674,0.778
C0221263,C0427055,0.83
C0221263,C0476254,0.794
C0221263,C1963137,0.856
C0221263,C0231791,0.78
C0221263,C0005779,0.76
C0221263,C0042963,0.807
C0221263,C0237326,0.848
C0221263,C0016382,0.826
C0221263,C0151908,0.839
C0221263,C0085636,0.827
C0221263,C0022346,0.766
C0221263,C0033774,0.813
C0221263,C0034150,0.801
C0221263,C0015230,0.833
C0221263,C0155320,0.702
C0221263,C0018989,0.797
C0221263,C0022116,0.816
C0221263,C0018780,0.755
C0221263,C0032285,0.778
C0221263,C0026837,0.814
C0221263,C0427190,0.756
C0221263,C0152200,0.694
C0221263,C0231528,0.82
C0221263,C0746674,0.826
C0221263,C0240735,0.803
C0221263,C3668816,0.747
C0221263,C0002418,0.791
C0221263,C0009398,0.748
C0221263,C0700078,0.831
C0221263,C0270948,0.832
C0221263,C0035078,0.807
C0221263,C1963154,0.802
C0221263,C0019825,0.804
C0221263,C0456909,0.825
C0221263,C0003635,0.829
C0221263,C0013595,0.771
C0221263,C0042798,0.826
C0221263,C0023380,0.753
C0221263,C0234144,0.804
C0221263,C0013604,0.82
C0221263,C0037315,0.787
C0221263,C0037317,0.797
C0221263,C0851578,0.776
C0221263,C0241210,0.853
C0221263,C0020305,0.732
C0221263,C0398650,0.791
C0221263,C1262477,0.846
C0221263,C0043094,0.814
C0221263,C1384666,0.84
C0221263,C1691779,0.751
C0221263,C0030193,0.822
C0221263,C0020429,0.823
C0221263,C1860844,0.845
C0221263,C0018681,0.856
C0221263,C0012833,0.786
C0221263,C0206160,0.742
C0221263,C0033377,0.804
C0221263,C4020887,0.827
C0221263,C0018834,0.84
C0221263,C0008489,0.817
C0221263,C0006271,0.762
C0221263,C0030486,0.703
C0221263,C1836296,0.794
C0237326,S349,0.861
C0237326,S350,0.859
C0237326,S355,0.851
C0237326,S358,0.788
C0237326,S359,0.855
C0237326,S360,0.75
C0237326,S363,0.789
C0237326,S368,0.819
C0237326,S375,0.728
C0237326,S38,0.897
C0237326,S380,0.777
C0237326,S387,0.903
C0237326,S388,0.738
C0237326,S389,0.639
C0237326,S39,0.778
C0237326,S397,0.873
C0237326,S398,0.873
C0237326,S404,0.859
C0237326,S408,0.746
C0237326,S410,0.796
C0237326,S411,0.863
C0237326,S418,0.886
C0237326,S42,0.832
C0237326,S420,0.741
C0237326,S422,0.68
C0237326,S428,0.878
C0237326,S430,0.694
C0237326,S431,0.703
C0237326,S437,0.758
C0237326,S44,0.86
C0237326,S443,0.793
C0237326,S444,0.781
C0237326,S445,0.867
C0237326,S446,0.784
C0237326,S447,0.751
C0237326,S449,0.782
C0237326,S456,0.798
C0237326,S462,0.804
C0237326,S463,0.763
C0237326,S464,0.828
C0237326,S466,0.796
C0237326,S475,0.667
C0237326,S476,0.667
C0237326,S477,0.667
C0237326,S478,0.726
C0237326,S479,0.88
C0237326,S48,0.794
C0237326,S483,0.795
C0237326,S497,0.827
C0237326,S498,0.879
C0237326,S499,0.806
C0237326,S500,0.742
C0237326,S501,0.798
C0237326,S502,0.773
C0237326,S503,0.752
C0237326,S62,0.881
C0237326,S64,0.86
C0237326,S65,0.842
C0237326,S66,0.79
C0237326,S69,0.748
C0237326,S71,0.823
C0237326,S73,0.79
C0237326,S75,0.885
C0237326,S80,0.881
C0237326,S86,0.867
C0237326,S87,0.854
C0237326,S88,0.836
C0237326,S90,0.903
C0237326,S95,0.904
C0237326,S96,0.803
C0237326,S98,0.872
C0016382,C0151908,0.878
C0016382,C0085636,0.864
C0016382,C0022346,0.801
C0016382,C0033774,0.878
C0016382,C0034150,0.82
C0016382,C0015230,0.87
C0016382,C0155320,0.679
C0016382,C0018989,0.822
C0016382,C0022116,0.841
C0016382,C0018780,0.761
C0016382,C0032285,0.808
C0016382,C0026837,0.828
C0016382,C0427190,0.75
C0016382,C0152200,0.691
C0016382,C0231528,0.849
C0016382,C0746674,0.817
C0016382,C0240735,0.791
C0016382,C3668816,0.785
C0016382,C0002418,0.768
C0016382,C0009398,0.754
C0016382,C0700078,0.827
C0016382,C0270948,0.832
C0016382,C0035078,0.83
C0016382,C1963154,0.83
C0016382,C0019825,0.774
C0016382,C0456909,0.83
C0016382,C0003635,0.843
C0016382,C0013595,0.797
C0016382,C0042798,0.84
C0018780,S499,0.763
C0018780,S500,0.991
C0018780,S501,0.793
C0018780,S502,0.759
C0018780,S503,0.757
C0018780,S62,0.724
C0018780,S64,0.775
C0018780,S65,0.744
C0018780,S66,0.745
C0018780,S69,0.756
C0018780,S71,0.757
C0018780,S73,0.775
C0018780,S75,0.762
C0018780,S80,0.693
C0018780,S86,0.745
C0018780,S87,0.765
C0018780,S88,0.784
C0018780,S90,0.777
C0018780,S95,0.746
C0018780,S96,0.758
C0018780,S98,0.753
C0032285,C0026837,0.784
C0032285,C0427190,0.726
C0032285,C0152200,0.685
C0032285,C0231528,0.816
C0032285,C0746674,0.79
C0032285,C0240735,0.792
C0032285,C3668816,0.882
C0032285,C0002418,0.759
C0032285,C0009398,0.729
C0032285,C0700078,0.761
C0032285,C0270948,0.775
C0032285,C0035078,0.81
C0032285,C1963154,0.813
C0032285,C0019825,0.765
C0032285,C0456909,0.761
C0032285,C0003635,0.818
C0032285,C0013595,0.849
C0032285,C0042798,0.756
C0032285,C0023380,0.763
C0032285,C0234144,0.794
C0032285,C0013604,0.838
C0032285,C0037315,0.869
C0032285,C0037317,0.764
C0032285,C0851578,0.815
C0032285,C0241210,0.758
C0032285,C0020305,0.707
C0032285,C0398650,0.823
C0032285,C1262477,0.805
C0032285,C0043094,0.81
C0032285,C1384666,0.765
C0032285,C1691779,0.727
C0032285,C0030193,0.816
C0032285,C0020429,0.854
C0032285,C1860844,0.766
C0032285,C0018681,0.819
C0032285,C0012833,0.811
C0032285,C0206160,0.76
C0032285,C0033377,0.739
C0032285,C4020887,0.795
C0032285,C0018834,0.779
C0032285,C0008489,0.763
C0032285,C0006271,0.956
C0032285,C0030486,0.702
C0032285,C1836296,0.781
C0032285,C0032617,0.773
C0032285,C0042024,0.787
C0032285,C0007758,0.742
C0032285,C0014118,0.917
C0032285,C0008031,0.815
C0032285,C2364082,0.748
C0032285,C0003126,0.738
C0032285,C0023186,0.813
C0032285,C0751265,0.767
C0032285,C0042384,0.906
C0032285,C0040034,0.814
C0032285,C0231712,0.786
C0032285,C0021368,0.938
C0032285,C0030232,0.788
C0032285,C0029089,0.737
C0032285,C0005745,0.739
C0032285,C0003123,0.867
C0032285,C0271097,0.665
C0032285,C2931205,0.665
C0032285,C1568248,0.665
C0032285,C1568249,0.711
C0032285,C0699731,0.764
C0032285,C0086132,0.813
C0032285,C0020505,0.798
C0032285,C0013491,0.798
C0032285,C0023012,0.758
C0032285,C0023015,0.799
C0032285,C0973461,0.786
C0032285,C0233565,0.783
C0032285,C0039070,0.741
C0032285,C0040822,0.771
C0032285,C0234376,0.761
C0032285,C0003578,0.766
C0032285,C3714756,0.71
C0032285,C0020796,0.761
C0026837,S80,0.823
C0026837,S86,0.85
C0026837,S87,0.83
C0026837,S88,0.838
C0026837,S90,0.857
C0026837,S95,0.86
C0026837,S96,0.853
C0026837,S98,0.845
C0427190,C0152200,0.746
C0427190,C0231528,0.757
C0427190,C0746674,0.776
C0427190,C0240735,0.798
C0427190,C3668816,0.708
C0427190,C0002418,0.767
C0427190,C0009398,0.772
C0427190,C0700078,0.78
C0427190,C0270948,0.773
C0427190,C0035078,0.755
C0427190,C1963154,0.753
C0427190,C0019825,0.761
C0427190,C0456909,0.781
C0427190,C0003635,0.81
C0427190,C0013595,0.728
C0427190,C0042798,0.761
C0427190,C0023380,0.737
C0427190,C0234144,0.782
C0427190,C0013604,0.76
C0427190,C0037315,0.749
C0427190,C0037317,0.803
C0427190,C0851578,0.768
C0427190,C0241210,0.765
C0427190,C0020305,0.73
C0427190,C0398650,0.726
C0427190,C1262477,0.754
C0427190,C0043094,0.761
C0427190,C1384666,0.742
C0427190,C1691779,0.766
C0427190,C0030193,0.771
C0427190,C0020429,0.763
C0427190,C1860844,0.752
C0427190,C0018681,0.766
C0427190,C0012833,0.785
C0427190,C0206160,0.739
C0427190,C0033377,0.765
C0427190,C4020887,0.765
C0427190,C0018834,0.787
C0427190,C0008489,0.754
C0427190,C0006271,0.707
C0427190,C0030486,0.743
C0427190,C1836296,0.8
C0427190,C0032617,0.743
C0427190,C0042024,0.784
C0427190,C0007758,0.77
C0427190,C0014118,0.739
C0427190,C0008031,0.753
C0427190,C2364082,0.759
C0427190,C0003126,0.755
C0427190,C0023186,0.795
C0427190,C0751265,0.793
C0427190,C0042384,0.727
C0427190,C0040034,0.737
C0427190,C0231712,0.755
C0427190,C0021368,0.728
C0427190,C0030232,0.753
C0427190,C0029089,0.781
C0427190,C0005745,0.765
C0427190,C0003123,0.744
C0427190,C0271097,0.741
C0427190,C2931205,0.741
C0427190,C1568248,0.741
C0427190,C1568249,0.759
C0427190,C0699731,0.757
C0427190,C0086132,0.743
C0427190,C0020505,0.794
C0427190,C0013491,0.756
C0427190,C0023012,0.765
C0427190,C0023015,0.82
C0427190,C0973461,0.825
C0427190,C0233565,0.814
C0427190,C0039070,0.792
C0427190,C0040822,0.789
C0427190,C0234376,0.786
C0427190,C0003578,0.815
C0427190,C3714756,0.714
C0427190,C0020796,0.8
C0427190,C0018776,0.767
C0427190,C0042571,0.785
C0427190,C0234133,0.773
C0427190,C0234132,0.78
C0427190,C0234378,0.77
C0427190,S02,0.793
C0427190,S06,0.764
C0427190,S07,0.745
C0427190,S08,0.783
C0427190,S102,0.801
C0427190,S103,0.765
C0427190,S104,0.744
C0427190,S106,0.751
C0427190,S109,0.769
C0427190,S111,0.809
C0042963,S64,0.844
C0042963,S65,0.834
C0042963,S66,0.791
C0042963,S69,0.753
C0042963,S71,0.832
C0042963,S73,0.776
C0042963,S75,0.857
C0042963,S80,0.851
C0042963,S86,0.858
C0042963,S87,0.85
C0042963,S88,0.823
C0042963,S90,0.85
C0042963,S95,0.87
C0042963,S96,0.802
C0042963,S98,0.862
C0237326,C0016382,0.844
C0237326,C0151908,0.87
C0237326,C0085636,0.863
C0237326,C0022346,0.823
C0237326,C0033774,0.842
C0237326,C0034150,0.79
C0237326,C0015230,0.867
C0237326,C0155320,0.693
C0237326,C0018989,0.821
C0237326,C0022116,0.868
C0237326,C0018780,0.744
C0237326,C0032285,0.767
C0237326,C0026837,0.852
C0237326,C0427190,0.769
C0237326,C0152200,0.669
C0237326,C0231528,0.864
C0237326,C0746674,0.841
C0237326,C0240735,0.797
C0237326,C3668816,0.73
C0237326,C0002418,0.789
C0237326,C0009398,0.74
C0237326,C0700078,0.866
C0237326,C0270948,0.885
C0237326,C0035078,0.861
C0237326,C1963154,0.859
C0237326,C0019825,0.79
C0237326,C0456909,0.851
C0237326,C0003635,0.855
C0237326,C0013595,0.75
C0237326,C0042798,0.881
C0237326,C0023380,0.79
C0237326,C0234144,0.789
C0237326,C0013604,0.861
C0237326,C0037315,0.819
C0237326,C0037317,0.82
C0237326,C0851578,0.769
C0237326,C0241210,0.89
C0237326,C0020305,0.728
C0237326,C0398650,0.777
C0237326,C1262477,0.904
C0237326,C0043094,0.867
C0237326,C1384666,0.903
C0237326,C1691779,0.738
C0237326,C0030193,0.873
C0237326,C0020429,0.873
C0237326,C1860844,0.859
C0237326,C0018681,0.854
C0237326,C0012833,0.798
C0237326,C0206160,0.746
C0237326,C0033377,0.796
C0237326,C4020887,0.863
C0237326,C0018834,0.903
C0237326,C0008489,0.886
C0237326,C0006271,0.741
C0237326,C0030486,0.68
C0237326,C1836296,0.784
C0237326,C0032617,0.762
C0237326,C0042024,0.803
C0237326,C0007758,0.878
C0237326,C0014118,0.758
C0237326,C0008031,0.842
C0237326,C2364082,0.793
C0237326,C0003126,0.781
C0237326,C0023186,0.867
C0237326,C0751265,0.784
C0237326,C0042384,0.751
C0237326,C0040034,0.782
C0237326,C0231712,0.798
C0237326,C0021368,0.804
C0237326,C0030232,0.763
C0237326,C0029089,0.828
C0237326,C0005745,0.796
C0237326,C0003123,0.806
C0237326,C0271097,0.667
C0237326,C2931205,0.667
C0237326,C1568248,0.667
C0237326,C1568249,0.726
C0237326,C0699731,0.88
C0237326,C0086132,0.825
C0237326,C0020505,0.795
C0237326,C0013491,0.852
C0237326,C0023012,0.89
C0237326,C0023015,0.852
C0237326,C0973461,0.835
C0237326,C0233565,0.827
C0032285,C0018776,0.729
C0032285,C0042571,0.811
C0032285,C0234133,0.737
C0032285,C0234132,0.729
C0032285,C0234378,0.731
C0032285,S02,0.819
C0032285,S06,0.767
C0032285,S07,0.796
C0032285,S08,0.8
C0032285,S102,0.79
C0032285,S103,0.758
C0032285,S104,0.867
C0032285,S106,0.804
C0032285,S109,0.778
C0032285,S111,0.782
C0032285,S112,0.796
C0032285,S114,0.762
C0032285,S115,0.773
C0032285,S116,0.819
C0032285,S119,0.77
C0032285,S120,0.874
C0032285,S121,0.875
C0032285,S125,0.746
C0032285,S128,0.9
C0032285,S137,0.88
C0032285,S138,0.799
C0032285,S14,0.798
C0032285,S142,0.759
C0032285,S144,0.85
C0032285,S145,0.806
C0032285,S147,0.788
C0032285,S148,0.834
C0032285,S15,0.773
C0032285,S150,0.755
C0032285,S155,0.753
C0032285,S158,0.727
C0032285,S159,0.761
C0032285,S161,0.744
C0032285,S162,0.807
C0032285,S163,0.757
C0032285,S169,0.918
C0032285,S17,0.819
C0032285,S170,0.832
C0032285,S172,0.794
C0032285,S177,0.746
C0032285,S182,0.773
C0032285,S183,0.751
C0032285,S185,0.808
C0032285,S189,0.757
C0032285,S190,0.79
C0032285,S192,0.779
C0032285,S20,0.832
C0032285,S200,0.867
C0032285,S21,0.787
C0032285,S213,0.762
C0032285,S214,0.81
C0032285,S215,0.772
C0032285,S216,0.749
C0032285,S217,0.751
C0032285,S22,0.795
C0032285,S221,0.8
C0032285,S234,0.752
C0032285,S244,0.76
C0032285,S246,0.714
C0032285,S25,0.829
C0032285,S252,0.778
C0032285,S260,0.763
C0032285,S27,0.806
C0032285,S273,0.791
C0032285,S279,0.772
C0032285,S282,0.8
C0032285,S286,0.728
C0032285,S291,0.823
C0032285,S294,0.767
C0032285,S297,0.808
C0032285,S299,0.775
C0032285,S30,0.811
C0032285,S300,0.795
C0032285,S306,0.838
C0032285,S309,0.654
C0032285,S313,0.814
C0032285,S314,0.728
C0032285,S318,1.0
C0032285,S321,0.784
C0032285,S325,0.726
C0032285,S327,0.685
C0032285,S33,0.828
C0032285,S330,0.792
C0032285,S333,0.882
C0032285,S334,0.759
C0032285,S335,0.729
C0032285,S343,0.761
C0032285,S345,0.859
C0032285,S346,0.775
C0032285,S349,0.81
C0032285,S350,0.813
C0032285,S355,0.761
C0032285,S358,0.765
C0032285,S359,0.818
C0032285,S360,0.849
C0032285,S363,0.794
C0032285,S368,0.869
C0032285,S375,0.707
C0032285,S38,0.793
C0032285,S380,0.823
C0032285,S387,0.765
C0032285,S388,0.727
C0032285,S389,0.623
C0032285,S39,0.783
C0032285,S397,0.816
C0032285,S398,0.854
C0032285,S404,0.766
C0032285,S408,0.76
C0032285,S410,0.739
C0032285,S411,0.795
C0032285,S418,0.764
C0032285,S42,0.781
C0032285,S420,0.956
C0032285,S422,0.702
C0032285,S428,0.742
C0032285,S430,0.682
C0032285,S431,0.684
C0032285,S437,0.917
C0032285,S44,0.827
C0032285,S443,0.748
C0032285,S444,0.738
C0032285,S445,0.813
C0032285,S446,0.767
C0032285,S447,0.906
C0032285,S449,0.814
C0032285,S456,0.786
C0032285,S462,0.938
C0032285,S463,0.788
C0032285,S464,0.737
C0032285,S466,0.739
C0032285,S475,0.665
C0032285,S476,0.665
C0032285,S477,0.665
C0032285,S478,0.711
C0032285,S479,0.764
C0032285,S48,0.816
C0032285,S483,0.798
C0032285,S497,0.766
C0032285,S498,0.71
C0032285,S499,0.761
C0032285,S500,0.729
C0032285,S501,0.811
C0032285,S502,0.737
C0032285,S503,0.729
C0032285,S62,0.775
C0032285,S64,0.796
C0032285,S65,0.805
C0032285,S66,0.874
C0032285,S69,0.744
C0032285,S71,0.76
C0032285,S73,0.765
C0032285,S75,0.757
C0032285,S80,0.722
C0032285,S86,0.81
C0032285,S87,0.819
C0032285,S88,0.808
C0032285,S90,0.779
C0032285,S95,0.805
C0032285,S96,0.787
C0032285,S98,0.847
C0026837,C0427190,0.812
C0026837,C0152200,0.705
C0026837,C0231528,0.838
C0026837,C0746674,0.862
C0026837,C0240735,0.846
C0026837,C3668816,0.75
C0026837,C0002418,0.79
C0026837,C0009398,0.775
C0026837,C0700078,0.87
C0026837,C0270948,0.861
C0026837,C0035078,0.833
C0026837,C1963154,0.829
C0026837,C0019825,0.774
C0026837,C0456909,0.837
C0026837,C0003635,0.878
C0026837,C0013595,0.763
C0026837,C0042798,0.849
C0026837,C0023380,0.791
C0026837,C0234144,0.826
C0026837,C0013604,0.84
C0026837,C0037315,0.813
C0026837,C0037317,0.842
C0026837,C0851578,0.775
C0026837,C0241210,0.851
C0026837,C0020305,0.745
C0026837,C0398650,0.773
C0026837,C1262477,0.86
C0026837,C0043094,0.85
C0026837,C1384666,0.841
C0026837,C1691779,0.759
C0026837,C0030193,0.864
C0026837,C0020429,0.845
C0026837,C1860844,0.83
C0026837,C0018681,0.83
C0026837,C0012833,0.818
C0009398,C0043094,0.747
C0009398,C1384666,0.732
C0009398,C1691779,0.782
C0009398,C0030193,0.75
C0009398,C0020429,0.753
C0009398,C1860844,0.75
C0009398,C0018681,0.758
C0009398,C0012833,0.77
C0009398,C0206160,0.784
C0009398,C0033377,0.786
C0009398,C4020887,0.817
C0009398,C0018834,0.759
C0009398,C0008489,0.74
C0009398,C0006271,0.716
C0009398,C0030486,0.755
C0009398,C1836296,0.78
C0009398,C0032617,0.744
C0009398,C0042024,0.77
C0009398,C0007758,0.745
C0009398,C0014118,0.737
C0009398,C0008031,0.752
C0009398,C2364082,0.748
C0009398,C0003126,0.752
C0009398,C0023186,0.765
C0009398,C0751265,0.755
C0009398,C0042384,0.729
C0009398,C0040034,0.761
C0009398,C0231712,0.76
C0009398,C0021368,0.736
C0009398,C0030232,0.762
C0009398,C0029089,0.822
C0009398,C0005745,0.786
C0009398,C0003123,0.735
C0009398,C0271097,0.761
C0009398,C2931205,0.761
C0009398,C1568248,0.761
C0009398,C1568249,0.793
C0009398,C0699731,0.745
C0009398,C0086132,0.756
C0009398,C0020505,0.775
C0009398,C0013491,0.769
C0009398,C0023012,0.744
C0009398,C0023015,0.773
C0009398,C0973461,0.766
C0009398,C0233565,0.778
C0009398,C0039070,0.769
C0009398,C0040822,0.757
C0009398,C0234376,0.76
C0009398,C0003578,0.774
C0009398,C3714756,0.706
C0009398,C0020796,0.758
C0009398,C0018776,0.784
C0009398,C0042571,0.77
C0009398,C0234133,0.762
C0009398,C0234132,0.768
C0009398,C0234378,0.747
C0009398,S02,0.756
C0009398,S06,0.736
C0009398,S07,0.748
C0009398,S08,0.761
C0009398,S102,0.76
C0009398,S103,0.744
C0009398,S104,0.735
C0009398,S106,0.753
C0009398,S109,0.741
C0009398,S111,0.786
C0009398,S112,0.732
C0009398,S114,0.743
C0009398,S115,0.739
C0009398,S116,0.756
C0009398,S119,0.704
C0009398,S120,0.732
C0009398,S121,0.761
C0009398,S125,0.755
C0009398,S128,0.752
C0009398,S137,0.747
C0009398,S138,0.744
C0009398,S14,0.752
C0009398,S142,0.73
C0009398,S144,0.735
C0009398,S145,0.763
C0009398,S147,0.765
C0009398,S148,0.739
C0009398,S15,0.744
C0009398,S150,0.774
C0009398,S155,0.758
C0009398,S158,0.749
C0009398,S159,0.807
C0009398,S161,0.719
C0009398,S162,0.745
C0009398,S163,0.759
C0009398,S169,0.733
C0009398,S17,0.74
C0009398,S170,0.742
C0009398,S172,0.751
C0009398,S177,0.749
C0009398,S182,0.762
C0009398,S183,0.789
C0009398,S185,0.76
C0009398,S189,0.768
C3668816,S430,0.67
C3668816,S431,0.685
C3668816,S437,0.87
C3668816,S44,0.797
C3668816,S443,0.727
C3668816,S444,0.723
C3668816,S445,0.77
C3668816,S446,0.739
C3668816,S447,0.845
C3668816,S449,0.796
C3668816,S456,0.758
C3668816,S462,0.864
C3668816,S463,0.779
C3668816,S464,0.711
C3668816,S466,0.725
C3668816,S475,0.668
C3668816,S476,0.668
C3668816,S477,0.668
C3668816,S478,0.699
C3668816,S479,0.729
C3668816,S48,0.809
C3668816,S483,0.778
C3668816,S497,0.735
C3668816,S498,0.672
C3668816,S499,0.732
C3668816,S500,0.728
C3668816,S501,0.786
C3668816,S502,0.728
C3668816,S503,0.703
C3668816,S62,0.732
C3668816,S64,0.767
C3668816,S65,0.771
C3668816,S66,0.818
C3668816,S69,0.729
C3668816,S71,0.737
C3668816,S73,0.745
C3668816,S75,0.718
C3668816,S80,0.683
C3668816,S86,0.769
C3668816,S87,0.798
C3668816,S88,0.782
C3668816,S90,0.746
C3668816,S95,0.775
C3668816,S96,0.751
C3668816,S98,0.803
C0002418,C0009398,0.765
C0002418,C0700078,0.786
C0002418,C0270948,0.778
C0002418,C0035078,0.796
C0002418,C1963154,0.795
C0002418,C0019825,0.777
C0002418,C0456909,0.799
C0002418,C0003635,0.795
C0002418,C0013595,0.756
C0002418,C0042798,0.798
C0002418,C0023380,0.737
C0002418,C0234144,0.772
C0002418,C0013604,0.786
C0002418,C0037315,0.778
C0002418,C0037317,0.806
C0002418,C0851578,0.767
C0002418,C0241210,0.794
C0002418,C0020305,0.769
C0002418,C0398650,0.761
C0002418,C1262477,0.781
C0002418,C0043094,0.776
C0002418,C1384666,0.777
C0002418,C1691779,0.788
C0002418,C0030193,0.789
C0002418,C0020429,0.791
C0002418,C1860844,0.781
C0002418,C0018681,0.815
C0002418,C0012833,0.804
C0002418,C0206160,0.743
C0002418,C0033377,0.802
C0002418,C4020887,0.796
C0002418,C0018834,0.809
C0002418,C0008489,0.764
C0002418,C0006271,0.735
C0002418,C0030486,0.71
C0002418,C1836296,0.783
C0002418,C0032617,0.752
C0002418,C0042024,0.772
C0002418,C0007758,0.774
C0002418,C0014118,0.751
C0002418,C0008031,0.803
C0002418,C2364082,0.805
C0002418,C0003126,0.803
C0002418,C0023186,0.8
C0002418,C0751265,0.778
C0002418,C0042384,0.752
C0002418,C0040034,0.766
C0002418,C0231712,0.799
C0002418,C0021368,0.77
C0002418,C0030232,0.759
